Model,Token-level Accuracy,Span-level Precision,Span-level Recall,Span-level F1
Random Span Baseline,0.5056711012750547,0.28494639680839756,0.2832972496230585,0.2784944941860884
RoBERTa-CRF,0.5056711012750547,0.4242374685868067,0.6567602589964118,0.49179318623185236
RoBERTa-CRF - Postprocessed,0.3678379233934789,0.4117042877153592,0.6792628833141559,0.48745172449814883
RoBERTa,0.3678379233934789,0.41997098468744765,0.6353782940936759,0.47615836046141985
RoBERTa - Postprocessed,0.38342830009496676,0.41343688806378587,0.6909097921682128,0.4887624903848783
