model,precision,recall,f1
Random Baseline,0.19695076230942266,0.489137181874612,0.2808267997148967
Binary Relevance - Logistic Regression,0.8918918918918919,0.6346153846153846,0.7415730337078652
Binary Relevance - Linear SVC,0.8862068965517241,0.8237179487179487,0.8538205980066444
Binary Relevance - K-Nearest Neighbors,0.8263665594855305,0.8237179487179487,0.8250401284109149
roberta-base,0.8732394366197183,0.7948717948717948,0.832214765100671
